occ_code,title,JobFamily,isBright,isGreen,JobZone,MedianSalary,pct_computer,pct_physical,pct_communication,pct_analyze,pct_manage,pct_creative,pct_textnative,observed_exposure
33-9021,Private Detectives and Investigators,Protective Service,1,0,3,64616.1,0.0588235294117647,0.0588235294117647,0.4705882352941176,0.5882352941176471,0.2352941176470588,0.0588235294117647,0.1176470588235294,0.0
33-9031,Gambling Surveillance Officers and Gambling Investigators,Protective Service,0,0,2,42157.2,0.2,0.0,0.4,0.2,0.8,0.0,0.0,0.0
33-9032,Security Guards,Protective Service,1,0,2,36752.1,0.0,0.1666666666666666,0.25,0.5,0.25,0.0833333333333333,0.0833333333333333,0.0
33-9091,Crossing Guards and Flaggers,Protective Service,0,0,2,37358.4,0.0,0.25,0.5,0.0833333333333333,0.25,0.1666666666666666,0.0,0.0
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Protective Service,1,0,2,28908.9,0.0,0.2666666666666666,0.3333333333333333,0.2666666666666666,0.1333333333333333,0.0666666666666666,0.0,0.0
33-9093,Transportation Security Screeners,Protective Service,0,0,2,53522.1,0.0384615384615384,0.1538461538461538,0.2692307692307692,0.2307692307692307,0.2307692307692307,0.0,0.0,0.0
33-9099,"Protective Service Workers, All Other",Protective Service,0,0,0,39628.8,0.0476190476190476,0.0952380952380952,0.3333333333333333,0.6666666666666666,0.2857142857142857,0.0,0.0476190476190476,0.0571
35-1011,Chefs and Head Cooks,Food Preparation and Serving Related,1,0,3,62513.4,0.0,0.3809523809523809,0.5714285714285714,0.4285714285714285,0.3333333333333333,0.0952380952380952,0.0,0.0
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving Related,1,0,2,41860.5,0.0,0.1153846153846153,0.4615384615384615,0.5,0.3076923076923077,0.0,0.0,0.0564
35-2011,"Cooks, Fast Food",Food Preparation and Serving Related,0,0,1,28805.7,0.0,0.4736842105263157,0.2631578947368421,0.3684210526315789,0.0526315789473684,0.0,0.0,0.0
35-2012,"Cooks, Institution and Cafeteria",Food Preparation and Serving Related,0,0,2,34649.4,0.0,0.3333333333333333,0.2,0.4,0.0666666666666666,0.0,0.0666666666666666,0.0
35-2013,"Cooks, Private Household",Food Preparation and Serving Related,0,0,3,48491.1,0.0,0.1818181818181818,0.2727272727272727,0.0909090909090909,0.1818181818181818,0.0,0.0,0.0
35-2014,"Cooks, Restaurant",Food Preparation and Serving Related,1,0,2,34223.700000000004,0.0,0.5,0.25,0.2,0.1,0.0,0.0,0.0116
35-2015,"Cooks, Short Order",Food Preparation and Serving Related,0,0,2,30702.0,0.0,0.5454545454545454,0.3636363636363636,0.4545454545454545,0.0,0.0,0.0,0.0
35-2021,Food Preparation Workers,Food Preparation and Serving Related,1,0,1,30611.7,0.0,0.3666666666666666,0.3333333333333333,0.0666666666666666,0.1666666666666666,0.0,0.0,0.0
35-3011,Bartenders,Food Preparation and Serving Related,1,0,2,29089.5,0.0,0.1,0.4,0.25,0.15,0.05,0.0,0.0
35-3023,Fast Food and Counter Workers,Food Preparation and Serving Related,1,0,2,30327.9,0.0,0.35,0.3405797101449275,0.2386363636363636,0.0833333333333333,0.0,0.0,0.0
35-3031,Waiters and Waitresses,Food Preparation and Serving Related,1,0,2,28096.2,0.08,0.16,0.44,0.12,0.04,0.04,0.08,0.0
35-3041,"Food Servers, Nonrestaurant",Food Preparation and Serving Related,1,0,1,30044.1,0.0,0.2857142857142857,0.2857142857142857,0.4285714285714285,0.0,0.0,0.0,0.0
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Food Preparation and Serving Related,1,0,1,28728.3,0.0,0.4782608695652174,0.3478260869565217,0.0,0.0434782608695652,0.0,0.0,0.0
35-9021,Dishwashers,Food Preparation and Serving Related,0,0,1,29321.7,0.0,0.5384615384615384,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0,0.0
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Food Preparation and Serving Related,1,0,2,28586.4,0.0454545454545454,0.0454545454545454,0.5,0.2272727272727272,0.4090909090909091,0.0454545454545454,0.0,0.0734
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,Building and Grounds Cleaning and Maintenance,1,0,2,51522.6,0.0,0.1923076923076923,0.5,0.3846153846153846,0.3846153846153846,0.0,0.0384615384615384,0.0436
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Building and Grounds Cleaning and Maintenance,1,0,3,62203.8,0.0,0.3214285714285714,0.4285714285714285,0.3928571428571428,0.5,0.0,0.0714285714285714,0.1083
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Building and Grounds Cleaning and Maintenance,1,0,2,33681.9,0.0,0.7391304347826086,0.217391304347826,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.0,0.0
37-2012,Maids and Housekeeping Cleaners,Building and Grounds Cleaning and Maintenance,1,0,2,30663.3,0.0,0.5,0.3214285714285714,0.1071428571428571,0.1071428571428571,0.0357142857142857,0.0,0.0
37-2021,Pest Control Workers,Building and Grounds Cleaning and Maintenance,1,0,2,45936.9,0.0,0.3333333333333333,0.2666666666666666,0.2,0.0666666666666666,0.0666666666666666,0.0,0.046
37-3011,Landscaping and Groundskeeping Workers,Building and Grounds Cleaning and Maintenance,1,0,1,37410.0,0.0,0.4444444444444444,0.2222222222222222,0.074074074074074,0.037037037037037,0.074074074074074,0.0,0.0
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Building and Grounds Cleaning and Maintenance,1,0,2,45562.8,0.0,0.2,0.1,0.2,0.1,0.0,0.0,0.0
37-3013,Tree Trimmers and Pruners,Building and Grounds Cleaning and Maintenance,1,0,2,49265.1,0.0,0.4615384615384615,0.2692307692307692,0.1153846153846153,0.1153846153846153,0.0,0.0,0.0
39-1013,First-Line Supervisors of Gambling Services Workers,Personal Care and Service,1,0,2,32114.55,0.0,0.1165158371040724,0.4045454545454545,0.1778656126482213,0.1396103896103896,0.0,0.0,0.0
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Personal Care and Service,1,0,2,32114.55,0.0,0.1165158371040724,0.4045454545454545,0.1778656126482213,0.1396103896103896,0.0,0.0,0.0443
39-1022,First-Line Supervisors of Personal Service Workers,Personal Care and Service,1,0,2,32114.55,0.0,0.1165158371040724,0.4045454545454545,0.1778656126482213,0.1396103896103896,0.0,0.0,0.0407
39-2011,Animal Trainers,Personal Care and Service,1,0,2,37784.1,0.0526315789473684,0.1578947368421052,0.5789473684210527,0.1578947368421052,0.0526315789473684,0.0,0.0,0.0
39-2021,Animal Caretakers,Personal Care and Service,1,0,2,30650.4,0.0,0.238095238095238,0.4285714285714285,0.1904761904761904,0.1428571428571428,0.0,0.0,0.0
39-3011,Gambling Dealers,Personal Care and Service,0,0,2,25954.8,0.05,0.0,0.15,0.25,0.2,0.0,0.05,0.0
39-3012,Gambling and Sports Book Writers and Runners,Personal Care and Service,0,0,2,31514.7,0.0454545454545454,0.0,0.0454545454545454,0.1818181818181818,0.1818181818181818,0.0,0.0454545454545454,0.0
39-3021,Motion Picture Projectionists,Personal Care and Service,0,0,2,29360.4,0.0,0.1904761904761904,0.238095238095238,0.238095238095238,0.0476190476190476,0.0,0.0952380952380952,0.0
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",Personal Care and Service,0,0,2,28715.4,0.0434782608695652,0.0434782608695652,0.391304347826087,0.1304347826086956,0.2608695652173913,0.0,0.0,0.0
39-3091,Amusement and Recreation Attendants,Personal Care and Service,1,0,1,28715.4,0.0,0.3684210526315789,0.3684210526315789,0.1578947368421052,0.1578947368421052,0.0526315789473684,0.0,0.0619
39-3092,Costume Attendants,Personal Care and Service,0,0,2,53135.1,0.0,0.0952380952380952,0.5714285714285714,0.3809523809523809,0.2857142857142857,0.0952380952380952,0.0,0.0
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",Personal Care and Service,1,0,2,30998.7,0.0,0.217391304347826,0.2608695652173913,0.1739130434782608,0.0869565217391304,0.0,0.0,0.0
39-4011,Embalmers,Personal Care and Service,0,0,3,57082.5,0.0,0.08,0.36,0.16,0.16,0.0,0.0,0.0
39-4021,Funeral Attendants,Personal Care and Service,0,0,2,34056.0,0.0384615384615384,0.1153846153846153,0.3076923076923077,0.0769230769230769,0.1538461538461538,0.0,0.0384615384615384,0.0
39-4031,"Morticians, Undertakers, and Funeral Arrangers",Personal Care and Service,0,0,3,67918.5,0.0,0.0476190476190476,0.5714285714285714,0.2857142857142857,0.238095238095238,0.0,0.0,0.0
39-5011,Barbers,Personal Care and Service,1,0,3,36068.4,0.0,0.15,0.4,0.1,0.05,0.0,0.0,0.0
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",Personal Care and Service,1,0,3,31901.7,0.0,0.2272727272727272,0.4090909090909091,0.0454545454545454,0.0909090909090909,0.0454545454545454,0.0,0.0304
39-5091,"Makeup Artists, Theatrical and Performance",Personal Care and Service,1,0,3,82882.5,0.0,0.0476190476190476,0.238095238095238,0.5714285714285714,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0
39-5092,Manicurists and Pedicurists,Personal Care and Service,1,0,2,31385.7,0.0,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.0555555555555555,0.0555555555555555,0.0,0.0
39-5093,Shampooers,Personal Care and Service,1,0,2,27915.6,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
39-5094,Skincare Specialists,Personal Care and Service,1,0,3,40364.1,0.0,0.1666666666666666,0.5,0.1666666666666666,0.0,0.0,0.0,0.0
39-6011,Baggage Porters and Bellhops,Personal Care and Service,0,0,2,31230.9,0.0588235294117647,0.1176470588235294,0.5294117647058824,0.2941176470588235,0.1176470588235294,0.0,0.0,0.073
39-6012,Concierges,Personal Care and Service,0,0,3,39216.0,0.0,0.1333333333333333,0.3333333333333333,0.2666666666666666,0.0666666666666666,0.0,0.0,0.1875
39-9011,Childcare Workers,Personal Care and Service,1,0,2,29979.6,0.0227272727272727,0.1136363636363636,0.7045454545454546,0.1136363636363636,0.25,0.0227272727272727,0.0,0.0122
